Step,Loss
1,-0.05520349368453026
2,-0.1466352790594101
3,-0.25632455945014954
4,-0.3990362882614136
5,-0.5849940776824951
6,-0.831203818321228
7,-1.150895118713379
8,-1.4649829864501953
9,-1.8053736686706543
10,-1.9799340963363647
11,-1.9458473920822144
12,-2.0703320503234863
13,-1.8982594013214111
14,-1.747480869293213
15,-1.6226468086242676
16,-1.478017807006836
17,-1.4193453788757324
18,-1.3213701248168945
19,-1.3281229734420776
20,-1.3666213750839233
21,-1.3772387504577637
22,-1.4027678966522217
23,-1.5039238929748535
24,-1.5475857257843018
25,-1.6872907876968384
26,-1.7418615818023682
27,-1.7246407270431519
28,-1.7116641998291016
29,-1.5338292121887207
30,-1.6006759405136108
31,-1.4951820373535156
32,-1.451353907585144
33,-1.494018793106079
34,-1.4544382095336914
35,-1.5234782695770264
36,-1.6218056678771973
37,-1.6675409078598022
38,-1.6767323017120361
39,-1.6817429065704346
40,-1.6799734830856323
41,-1.6009427309036255
42,-1.5649690628051758
43,-1.4806764125823975
44,-1.4367725849151611
45,-1.5466173887252808
46,-1.522568702697754
47,-1.562827229499817
48,-1.6370943784713745
49,-1.6815564632415771
50,-1.699669599533081
51,-1.7515027523040771
52,-1.5983150005340576
53,-1.6110817193984985
54,-1.5998950004577637
55,-1.5477116107940674
56,-1.5849885940551758
57,-1.7224316596984863
58,-1.7205352783203125
59,-1.6500332355499268
60,-1.6264930963516235
61,-1.67509126663208
62,-1.631905436515808
63,-1.546555995941162
64,-1.4425724744796753
65,-1.5440386533737183
66,-1.648153305053711
67,-1.6368252038955688
68,-1.6639995574951172
69,-1.5998077392578125
70,-1.660186529159546
71,-1.6170604228973389
72,-1.5496149063110352
73,-1.6286766529083252
74,-1.7202613353729248
75,-1.6381840705871582
76,-1.7721837759017944
77,-1.650008201599121
78,-1.6722116470336914
79,-1.6566603183746338
80,-1.735339879989624
81,-1.6720807552337646
82,-1.7034707069396973
83,-1.7252798080444336
84,-1.7356632947921753
85,-1.6390416622161865
86,-1.6749119758605957
87,-1.5897467136383057
88,-1.5951852798461914
89,-1.6741693019866943
90,-1.6275683641433716
91,-1.6552464962005615
92,-1.6622511148452759
93,-1.594001054763794
94,-1.6597731113433838
95,-1.702209234237671
96,-1.6550564765930176
97,-1.645728588104248
98,-1.686657428741455
99,-1.6405537128448486
100,-1.6296327114105225
101,-1.666106939315796
102,-1.6958301067352295
103,-1.734336018562317
104,-1.6780164241790771
105,-1.6320445537567139
106,-1.7272663116455078
107,-1.625369906425476
108,-1.6315124034881592
109,-1.6971975564956665
110,-1.6662979125976562
111,-1.592383623123169
112,-1.5600817203521729
113,-1.6476185321807861
114,-1.6688973903656006
115,-1.696833610534668
116,-1.7041981220245361
117,-1.70220947265625
118,-1.6118086576461792
119,-1.6848294734954834
120,-1.6609196662902832
121,-1.6874747276306152
122,-1.6618887186050415
123,-1.6424280405044556
124,-1.7596333026885986
125,-1.7579810619354248
126,-1.6354105472564697
127,-1.662697672843933
128,-1.6853450536727905
129,-1.663404941558838
130,-1.6147665977478027
131,-1.6320180892944336
132,-1.635657787322998
133,-1.6623871326446533
134,-1.602280616760254
135,-1.607497215270996
136,-1.5737334489822388
137,-1.5261962413787842
138,-1.6119720935821533
139,-1.6529574394226074
140,-1.6609270572662354
141,-1.7241291999816895
142,-1.6697664260864258
143,-1.646343469619751
144,-1.7231523990631104
145,-1.7066075801849365
