Episode,Scores
1,44.183750251702065
2,42.85770073619528
3,43.474408754601725
4,38.897600517358406
5,39.481020187477796
6,37.654568438059414
7,37.753695421507246
8,37.58072060158445
9,37.471014136563426
10,37.937094224224495
11,37.494333280018004
12,39.492277368183196
13,39.318568108470856
14,53.033544354642494
15,6.156537661569649
16,4.084374598804244
17,3.537742063143973
18,4.888549911833973
19,5.218966593196482
20,4.852366255694743
21,5.05433776933487
22,3.8960208940721683
23,8.559037031660962
24,3.574513957703669
25,4.977674051080017
26,3.2270147693424778
27,4.424605229856649
28,5.050519360396203
29,4.287819439251837
30,3.179666754065626
31,4.956817609893461
32,4.249328314801431
33,6.213993493634431
34,4.818808184591539
35,7.397030261053892
36,4.291742696500316
37,3.604104420141566
38,3.332835067692138
39,2.117198681710404
40,4.2632902961991155
41,5.38511308183888
42,6.18060213018614
43,4.409295760197139
44,3.7035797237493098
45,6.637258484540338
46,4.99610299598153
47,4.285818286896161
48,4.198438642014185
49,4.001968296488158
50,5.51306452603754
51,4.114544859638989
52,4.852885404877372
53,3.567155975834778
54,7.331720196865767
55,4.868123777108258
56,4.063290510397648
57,3.9197455009105115
58,4.195438476577637
59,4.066380992035016
60,4.699767936174693
61,4.044323150410061
62,4.436460504456275
63,5.519709260090476
64,2.1657199267654605
65,6.1907562132132465
66,3.869968889204637
67,3.9335254757044122
68,4.4131968016957295
69,5.861741130296895
70,4.067834473983447
71,4.834402854940891
72,1.9114239768395918
73,2.994748985512625
74,6.173340049504616
75,3.5708504710121676
76,5.2278199367429075
77,5.695909961767199
78,7.065623138244366
79,4.916698506463011
80,5.394205616148984
81,5.478192440894379
82,6.433405093708092
83,3.5414626000682627
84,5.065386009797591
85,5.378950358458028
86,3.825799475408642
87,1.762555979051624
88,5.980963500209691
89,4.005678722313352
90,4.994629234784611
91,4.311195905458858
92,5.4075754233562865
93,6.3340092862496675
94,3.6885797171917503
95,5.728395234196876
96,5.95853530180967
97,5.131544021828575
98,4.556222723153859
99,6.41761923620296
100,4.992993064941566
101,4.1936066951101285
102,2.1613376251977776
103,3.8280963328131605
104,5.05832585134063
105,3.967711342511929
106,5.130445555927013
107,3.9205958149201097
108,6.103792316215617
109,4.714559610975876
110,5.359450214488782
111,2.3648395278580296
112,3.87644234217389
113,7.177296484353642
114,4.659285967759609
115,4.0276321384411125
116,4.373586395760508
117,4.829133545174223
118,4.846067320085652
119,4.595656399055784
120,2.6574188699254164
121,2.7139429834911457
122,5.472032898078843
