Episode,Scores
1,-111.29858401393705
2,-101.48419300836139
3,-98.86148244962655
4,-106.08785046062806
5,-99.57783969289686
6,-99.71418150385283
7,-101.00481428186347
8,-99.93342823481498
9,-101.26787055413301
10,-102.97019765492715
11,-123.31071191889606
12,-122.27323823343538
13,-122.01179930417416
14,-123.58634275088274
15,-123.36194574256146
16,-122.17850672917321
17,-103.33019325999915
18,-108.22305327873615
19,-105.08253496075173
20,-107.26074060575044
21,-104.4266465684579
22,-102.08536867491962
23,-102.1725820295494
24,-106.5085369742817
25,-120.87575685495759
26,-150.33648402473892
27,-105.25340405347198
28,-97.81874863309972
29,-102.05402663612179
30,-98.67735275354237
31,-97.748618363332
32,-97.97182780312622
33,-97.78052041383273
34,-101.98728075543791
35,-98.33268500053883
36,-97.9273288062339
37,-101.94022965139771
38,-98.58679996578893
39,-98.0784337525256
40,-98.01976782894631
41,-98.15933917785685
42,-98.92730629941883
43,-98.91477354033105
44,-98.85568197433216
45,-103.87657515781311
46,-102.42757316927177
47,-99.0356892915933
48,-104.31069352492628
49,-99.4694548094937
50,-99.02969409087734
51,-104.53941006989467
52,-101.5771791414246
53,-98.87561903016145
54,-99.0340473741591
55,-137.75834681493478
56,-99.00579749263761
57,-99.13297999702083
58,-102.89538677184781
59,-98.98110447635501
60,-99.60621308388437
61,-98.86277064904695
62,-99.63033222488625
63,-98.57396135016717
64,-98.58609248025219
65,-99.34876350222093
66,-97.94275207883679
67,-106.46779756898806
68,-98.53131795748634
69,-99.43859641257984
70,-100.24229504243284
71,-98.71827053742422
72,-98.76627964985556
73,-98.85036259344282
74,-99.65581019528396
75,-132.75865367876986
76,-100.36602679716299
77,-99.65416355289518
78,-99.26847062091716
79,-99.31420133401267
80,-99.10123146412646
81,-99.14599505733078
82,-101.20932990948607
83,-99.84629566367529
84,-99.2729311043111
85,-99.4715197957332
86,-100.19799799728705
87,-99.3778855879226
88,-99.69718859179504
89,-99.53875453618727
90,-101.03782818183862
91,-99.3508803195674
92,-99.85672605743632
93,-99.65511188447165
94,-99.25579598473074
95,-105.00761506298991
96,-99.65694981510876
97,-104.39643783708476
98,-105.90109484533654
99,-105.12655136950934
100,-99.62817233882969
101,-99.96020984663441
102,-99.07042999053002
103,-99.9386535850993
104,-99.18671472804
105,-99.89695888657681
106,-101.96290012950139
107,-99.76631086199545
108,-100.12910402801509
109,-105.09956916651191
110,-105.15715332400613
111,-99.91670961467115
112,-100.54022809504905
113,-105.13231408113054
114,-104.65934477731957
115,-106.54255229852473
116,-101.17106539083024
117,-103.70467235389724
118,-104.99799305641154
119,-102.2981181080596
120,-98.4739775003139
121,-97.90516378383525
122,-97.98525498520024
123,-98.50054542060818
124,-97.88128201365595
125,-99.49241439216398
126,-98.27162612215305
127,-100.64917988413139
128,-98.54278279422347
129,-101.04445485999
130,-102.44050746529301
131,-98.08488494360572
132,-98.3559495676582
133,-99.83171616134793
134,-98.27945946874408
135,-97.82834320874201
136,-97.8877345441915
137,-102.36058255835871
138,-100.55199367541695
139,-97.96174447241053
140,-99.17449799594469
141,-97.87016700255312
142,-98.2001227369861
143,-98.4257550683152
144,-98.08771121590584
145,-98.82371446521766
146,-98.54988006543245
147,-98.22344750135764
148,-99.64862085823032
149,-99.22263457476286
150,-98.63862912381379
151,-98.42377374664197
152,-99.96276373901964
153,-97.86410363876695
154,-98.8277509907242
