Episode,Scores
1,44.23036615215622
2,43.27056013699578
3,43.13634589234249
4,41.170895083097314
5,37.81861337633755
6,37.62038457214259
7,39.6426020404961
8,39.18345700869328
9,37.581880325102105
10,37.46569254072365
11,38.050641387260804
12,36.05043127853018
13,37.56058332449731
14,38.009341435135056
15,37.71179432337158
16,38.02337827583444
17,39.55052044171404
18,37.941751878000645
19,39.60587804684971
20,38.106687286139795
21,38.096786874815166
22,39.33017509786233
23,37.78115547666914
24,35.95789212185077
25,37.925437336229976
26,37.6736095828158
27,37.39095933685082
28,36.01591884914138
29,36.26395636080164
30,37.45070719653102
31,39.328433964404425
32,37.65618721208104
33,39.26201397605183
34,37.8588700651894
35,37.4801826732481
36,37.85442347093753
37,39.63588306121522
38,37.423899355232706
39,37.66799671127572
40,37.84434601112757
41,39.25007013835644
42,37.82859913438759
43,38.05984428312782
44,37.795899573349196
45,37.70168284095005
