Step,Loss
1,0.06344301998615265
2,0.08639613538980484
3,0.11202935874462128
4,0.14131800830364227
5,0.17261166870594025
6,0.1999453604221344
7,0.21914273500442505
8,0.22341817617416382
9,0.21869111061096191
10,0.20813676714897156
11,0.192975252866745
12,0.17629465460777283
13,0.16595140099525452
14,0.1633882224559784
15,0.16368702054023743
16,0.16375797986984253
17,0.17648835480213165
18,0.18561726808547974
19,0.19233238697052002
20,0.18455956876277924
21,0.18291890621185303
22,0.15685975551605225
23,0.16926397383213043
24,0.1594962477684021
25,0.16074076294898987
26,0.17033396661281586
27,0.1662188172340393
28,0.16349582374095917
29,0.16411595046520233
30,0.1614435315132141
31,0.1521107703447342
32,0.16030719876289368
33,0.16937336325645447
34,0.169394388794899
35,0.1450638473033905
36,0.14293111860752106
37,0.1323942244052887
38,0.1386154294013977
39,0.15142865478992462
40,0.14178314805030823
41,0.15412887930870056
42,0.1646140068769455
43,0.14010688662528992
44,0.1538754254579544
45,0.1453055590391159
46,0.1452673375606537
47,0.16328710317611694
48,0.2004300057888031
49,0.22969844937324524
50,0.24784594774246216
51,0.29366570711135864
52,0.3590947985649109
53,0.3847584128379822
54,0.4558740258216858
55,0.5153533816337585
56,0.528049886226654
57,0.6204850077629089
58,0.6563796997070312
59,0.7024166584014893
60,0.8356168270111084
61,0.9407159090042114
62,1.1295119524002075
63,1.30003023147583
64,1.4972023963928223
65,1.714780569076538
66,1.604472279548645
67,1.7082889080047607
68,1.4164183139801025
69,1.3062336444854736
70,1.1503691673278809
71,1.241604208946228
72,0.9066852331161499
73,0.7472562789916992
74,0.35335400700569153
75,0.42387041449546814
76,0.17998293042182922
77,0.1788315623998642
78,0.19272251427173615
79,0.1536189615726471
80,0.04479953646659851
81,0.04073220491409302
82,-0.01190834492444992
83,-0.04441962018609047
84,-0.0025276336818933487
85,0.08801090717315674
86,0.08005622029304504
87,0.08258575201034546
88,0.22788861393928528
89,0.17812186479568481
90,0.35918381810188293
91,0.4776243567466736
92,0.6342914700508118
93,0.6309325695037842
94,0.7662734985351562
