Step,Loss
1,-0.0547761507332325
2,-0.14433710277080536
3,-0.2465367168188095
4,-0.36614733934402466
5,-0.49575865268707275
6,-0.6254023313522339
7,-0.7448928356170654
8,-0.8112489581108093
9,-0.8695013523101807
10,-0.9031266570091248
11,-0.9265938997268677
12,-0.9599701762199402
13,-0.9687488675117493
14,-0.9735618829727173
15,-0.9794409275054932
16,-0.9848722219467163
17,-0.9884992241859436
18,-0.9918033480644226
19,-0.9943199753761292
20,-0.9947783350944519
21,-0.9963672161102295
22,-0.9962716698646545
23,-0.9979711771011353
24,-0.9975239634513855
25,-0.9993553161621094
26,-0.9982415437698364
27,-0.9984755516052246
28,-0.9985923171043396
29,-0.9987533688545227
30,-0.9992080330848694
31,-0.9986567497253418
32,-0.9991529583930969
33,-0.9990442991256714
34,-0.9989160299301147
35,-0.9988584518432617
36,-0.9990680813789368
37,-0.9993172883987427
38,-0.9988768696784973
39,-0.9993280172348022
40,-0.9991533160209656
41,-0.998591423034668
42,-0.9983221292495728
43,-0.9985215067863464
44,-0.9985279440879822
45,-0.9982354640960693
46,-0.9984595775604248
47,-0.9986076951026917
48,-0.9984812140464783
49,-0.9974126815795898
50,-0.998209536075592
51,-0.9984309673309326
52,-0.9985344409942627
53,-0.9980665445327759
54,-0.9985824227333069
55,-0.9970837235450745
56,-0.9979100823402405
57,-0.9978188872337341
58,-0.9963849782943726
59,-0.9955734014511108
60,-0.9968432188034058
61,-0.9969398379325867
62,-0.9961879253387451
63,-0.9966027736663818
64,-0.9949353933334351
65,-0.9961647391319275
66,-0.99505615234375
67,-0.9964386820793152
68,-0.9951736330986023
69,-0.996554970741272
70,-0.997287392616272
71,-0.9969996809959412
72,-0.9975500106811523
73,-0.996192455291748
74,-0.9975541830062866
75,-0.9972036480903625
76,-0.9967770576477051
77,-0.9967387914657593
78,-0.9983198642730713
79,-0.997520923614502
80,-0.9989765882492065
81,-0.9974257946014404
82,-0.9983201622962952
83,-0.9983159899711609
84,-0.998310923576355
85,-0.9980738162994385
86,-0.9980167150497437
87,-0.9980936050415039
88,-0.998167097568512
89,-0.9984251856803894
90,-0.9977325797080994
91,-0.9986973404884338
92,-0.9985584616661072
93,-0.9988096952438354
94,-0.9989780783653259
95,-0.9987847208976746
96,-0.9986549615859985
97,-0.9987484216690063
